case,tx_id,group_id,segment_index,group_segments,tx_time_ns,arrival_ns,sender,receiver,kind,app_source,app_id,hop_seq,ack_bits,dack_bits,decision,reason,boundary_distance_ns
ack,247,262,1,1,23437961028,23460042028,1,5,ACK,0,0,86,18446744073709551615,0,pass,none,-1
ack,248,263,1,1,23452000028,23474081028,5,4,ACK,0,0,43,8795962998783,130023424,pass,none,-1
ack,249,264,1,1,23476961028,23499042028,1,5,ACK,0,0,86,18446744073709551615,0,pass,none,-1
ack,250,265,1,1,23491000028,23513081028,5,4,ACK,0,0,43,8795962998783,130023424,pass,none,-1
ack,251,266,1,1,23634000028,23656081028,5,4,ACK,0,0,43,8795962998783,130023424,pass,none,-1
ack,252,267,1,1,24115000028,24137501028,4,5,DATA,4,44,44,0,0,pass,none,-1
ack,253,268,1,1,24141000028,24168841028,5,4,ACK,0,0,44,17591925997567,260046848,pass,none,-1
ack,253,269,2,2,24141000028,24168841028,5,1,DATA,5,44,87,0,0,pass,none,-1
ack,253,269,3,2,24141000028,24168841028,5,1,DATA,4,44,88,0,0,pass,none,-1
ack,254,270,1,1,24193000028,24215081028,5,4,ACK,0,0,44,17591925997567,260046848,pass,none,-1
ack,255,271,1,1,24204961028,24227042028,1,5,ACK,0,0,88,18446744073709551615,0,pass,none,-1
ack,256,272,1,1,24243961028,24266042028,1,5,ACK,0,0,88,18446744073709551615,0,pass,none,-1
ack,257,273,1,1,24282961028,24305042028,1,5,ACK,0,0,88,18446744073709551615,0,pass,none,-1
ack,258,274,1,1,24321961028,24344042028,1,5,ACK,0,0,88,18446744073709551615,0,pass,none,-1
ack,259,275,1,1,24336000028,24358081028,5,4,ACK,0,0,44,17591925997567,260046848,pass,none,-1
ack,260,276,1,1,24360961028,24383042028,1,5,ACK,0,0,88,18446744073709551615,0,pass,none,-1
ack,261,277,1,1,24375000028,24397081028,5,4,ACK,0,0,44,17591925997567,260046848,pass,none,-1
ack,262,278,1,1,24518000028,24540081028,5,4,ACK,0,0,44,17591925997567,260046848,pass,none,-1
ack,263,279,1,1,25116000028,25138501028,4,5,DATA,4,45,45,0,0,pass,none,-1
ack,264,280,1,1,25142000028,25169841028,5,4,ACK,0,0,45,35183851995135,520093696,pass,none,-1
ack,264,281,2,2,25142000028,25169841028,5,1,DATA,5,45,89,0,0,pass,none,-1
ack,264,281,3,2,25142000028,25169841028,5,1,DATA,4,45,90,0,0,pass,none,-1
ack,265,282,1,1,25194000028,25216081028,5,4,ACK,0,0,45,35183851995135,520093696,pass,none,-1
ack,266,283,1,1,25205961028,25228042028,1,5,ACK,0,0,90,18446744073709551615,0,pass,none,-1
ack,267,284,1,1,25244961028,25267042028,1,5,ACK,0,0,90,18446744073709551615,0,pass,none,-1
ack,268,285,1,1,25283961028,25306042028,1,5,ACK,0,0,90,18446744073709551615,0,pass,none,-1
ack,269,286,1,1,25322961028,25345042028,1,5,ACK,0,0,90,18446744073709551615,0,pass,none,-1
ack,270,287,1,1,25337000028,25359081028,5,4,ACK,0,0,45,35183851995135,520093696,pass,none,-1
ack,271,288,1,1,25361961028,25384042028,1,5,ACK,0,0,90,18446744073709551615,0,pass,none,-1
ack,272,289,1,1,25376000028,25398081028,5,4,ACK,0,0,45,35183851995135,520093696,pass,none,-1
ack,273,290,1,1,25519000028,25541081028,5,4,ACK,0,0,45,35183851995135,520093696,pass,none,-1
ack,274,291,1,1,26117000028,26139501028,4,5,DATA,4,46,46,0,0,pass,none,-1
ack,275,292,1,1,26143000028,26170841028,5,4,ACK,0,0,46,70367703990271,1040187392,pass,none,-1
ack,275,293,2,2,26143000028,26170841028,5,1,DATA,5,46,91,0,0,pass,none,-1
ack,275,293,3,2,26143000028,26170841028,5,1,DATA,4,46,92,0,0,pass,none,-1
ack,276,294,1,1,26195000028,26217081028,5,4,ACK,0,0,46,70367703990271,1040187392,pass,none,-1
ack,277,295,1,1,26206961028,26229042028,1,5,ACK,0,0,92,18446744073709551615,0,pass,none,-1
ack,278,296,1,1,26245961028,26268042028,1,5,ACK,0,0,92,18446744073709551615,0,pass,none,-1
ack,279,297,1,1,26284961028,26307042028,1,5,ACK,0,0,92,18446744073709551615,0,pass,none,-1
ack,280,298,1,1,26323961028,26346042028,1,5,ACK,0,0,92,18446744073709551615,0,pass,none,-1
ack,281,299,1,1,26338000028,26360081028,5,4,ACK,0,0,46,70367703990271,1040187392,pass,none,-1
ack,282,300,1,1,26362961028,26385042028,1,5,ACK,0,0,92,18446744073709551615,0,pass,none,-1
ack,283,301,1,1,26377000028,26399081028,5,4,ACK,0,0,46,70367703990271,1040187392,pass,none,-1
ack,284,302,1,1,26520000028,26542081028,5,4,ACK,0,0,46,70367703990271,1040187392,pass,none,-1
ack,285,303,1,1,27105000028,27127501028,4,5,DATA,4,47,47,0,0,pass,none,-1
ack,286,304,1,1,27131000028,27158841028,5,4,ACK,0,0,47,140735407980543,2080374784,pass,none,-1
ack,286,305,2,2,27131000028,27158841028,5,1,DATA,5,47,93,0,0,pass,none,-1
ack,286,305,3,2,27131000028,27158841028,5,1,DATA,4,47,94,0,0,pass,none,-1
ack,287,306,1,1,27183000028,27205081028,5,4,ACK,0,0,47,140735407980543,2080374784,pass,none,-1
ack,288,307,1,1,27194961028,27217042028,1,5,ACK,0,0,94,18446744073709551615,0,pass,none,-1
ack,289,308,1,1,27233961028,27256042028,1,5,ACK,0,0,94,18446744073709551615,0,pass,none,-1
ack,290,309,1,1,27272961028,27295042028,1,5,ACK,0,0,94,18446744073709551615,0,pass,none,-1
ack,291,310,1,1,27311961028,27334042028,1,5,ACK,0,0,94,18446744073709551615,0,pass,none,-1
ack,292,311,1,1,27326000028,27348081028,5,4,ACK,0,0,47,140735407980543,2080374784,pass,none,-1
ack,293,312,1,1,27350961028,27373042028,1,5,ACK,0,0,94,18446744073709551615,0,pass,none,-1
ack,294,313,1,1,27365000028,27387081028,5,4,ACK,0,0,47,140735407980543,2080374784,pass,none,-1
ack,295,314,1,1,27508000028,27530081028,5,4,ACK,0,0,47,140735407980543,2080374784,pass,none,-1
ack,296,315,1,1,28106000028,28128501028,4,5,DATA,4,48,48,0,0,pass,none,-1
ack,297,316,1,1,28132000028,28159841028,5,4,ACK,0,0,48,281470815961087,4160749568,pass,none,-1
ack,297,317,2,2,28132000028,28159841028,5,1,DATA,5,48,95,0,0,pass,none,-1
ack,297,317,3,2,28132000028,28159841028,5,1,DATA,4,48,96,0,0,pass,none,-1
ack,298,318,1,1,28184000028,28206081028,5,4,ACK,0,0,48,281470815961087,4160749568,pass,none,-1
ack,299,319,1,1,28195961028,28218042028,1,5,ACK,0,0,96,18446744073709551615,0,pass,none,-1
ack,300,320,1,1,28234961028,28257042028,1,5,ACK,0,0,96,18446744073709551615,0,pass,none,-1
ack,301,321,1,1,28273961028,28296042028,1,5,ACK,0,0,96,18446744073709551615,0,pass,none,-1
ack,302,322,1,1,28312961028,28335042028,1,5,ACK,0,0,96,18446744073709551615,0,pass,none,-1
ack,303,323,1,1,28327000028,28349081028,5,4,ACK,0,0,48,281470815961087,4160749568,pass,none,-1
ack,304,324,1,1,28351961028,28374042028,1,5,ACK,0,0,96,18446744073709551615,0,pass,none,-1
ack,305,325,1,1,28366000028,28388081028,5,4,ACK,0,0,48,281470815961087,4160749568,pass,none,-1
ack,306,326,1,1,28509000028,28531081028,5,4,ACK,0,0,48,281470815961087,4160749568,pass,none,-1
out,1,1,1,1,351000028,373501028,4,5,DATA,4,1,1,0,0,pass,none,7648999972
out,2,2,1,1,429000028,453961028,5,4,ACK,0,0,1,1,0,pass,none,7570999972
out,2,3,2,1,429000028,453961028,5,1,DATA,5,1,1,0,0,pass,none,7570999972
out,3,4,1,1,468000028,490501028,4,5,DATA,4,2,2,0,0,pass,none,7531999972
out,4,5,1,1,468000028,490081028,5,4,ACK,0,0,1,1,0,pass,none,7531999972
out,5,6,1,1,611000028,633081028,5,4,ACK,0,0,2,3,0,pass,none,7388999972
out,6,7,1,1,650000028,672081028,5,4,ACK,0,0,2,3,0,pass,none,7349999972
out,7,8,1,1,741000028,763501028,4,5,DATA,4,3,3,0,0,pass,none,7258999972
out,8,9,1,1,778961028,801042028,1,5,ACK,0,0,1,1,0,pass,none,7221038972
out,9,10,1,1,793000028,815081028,5,4,ACK,0,0,3,7,0,pass,none,7206999972
out,10,11,1,1,817961028,840042028,1,5,ACK,0,0,1,1,0,pass,none,7182038972
out,11,12,1,1,845000028,869961028,5,4,ACK,0,0,3,7,0,pass,none,7154999972
out,11,13,2,1,845000028,869961028,5,1,DATA,5,2,2,0,0,pass,none,7154999972
out,12,14,1,1,856961028,879042028,1,5,ACK,0,0,1,1,0,pass,none,7143038972
out,13,15,1,1,895961028,918042028,1,5,ACK,0,0,2,3,0,pass,none,7104038972
out,14,16,1,2,923000028,948381028,4,5,DATA,4,4,4,0,0,pass,none,7076999972
out,14,16,2,2,923000028,948381028,4,5,DATA,4,5,5,0,0,pass,none,7076999972
out,15,17,1,1,934961028,957042028,1,5,ACK,0,0,2,3,0,pass,none,7065038972
out,16,18,1,1,973961028,996042028,1,5,ACK,0,0,2,3,0,pass,none,7026038972
out,17,19,1,1,988000028,1012961028,5,4,ACK,0,0,5,31,0,pass,none,7011999972
out,17,20,2,1,988000028,1012961028,5,1,DATA,5,3,3,0,0,pass,none,7011999972
out,18,21,1,1,1012961028,1035042028,1,5,ACK,0,0,3,7,0,pass,none,6987038972
out,19,22,1,1,1027000028,1049081028,5,4,ACK,0,0,5,31,0,pass,none,6972999972
out,20,23,1,1,1051961028,1074042028,1,5,ACK,0,0,3,7,0,pass,none,6948038972
out,21,24,1,1,1090961028,1113042028,1,5,ACK,0,0,3,7,0,pass,none,6909038972
out,22,25,1,2,1118000028,1143381028,4,5,DATA,4,6,6,0,0,pass,none,6881999972
out,22,25,2,2,1118000028,1143381028,4,5,DATA,4,7,7,0,0,pass,none,6881999972
out,23,26,1,1,1129961028,1152042028,1,5,ACK,0,0,3,7,0,pass,none,6870038972
out,24,27,1,1,1168961028,1191042028,1,5,ACK,0,0,3,7,0,pass,none,6831038972
out,25,28,1,1,1170000028,1197841028,5,4,ACK,0,0,7,127,0,pass,none,6829999972
out,25,29,2,2,1170000028,1197841028,5,1,DATA,5,4,4,0,0,pass,none,6829999972
out,25,29,3,2,1170000028,1197841028,5,1,DATA,5,5,5,0,0,pass,none,6829999972
out,26,30,1,1,1235000028,1257081028,5,4,ACK,0,0,7,127,0,pass,none,6764999972
out,27,31,1,1,1246961028,1269042028,1,5,ACK,0,0,5,31,0,pass,none,6753038972
out,28,32,1,1,1285961028,1308042028,1,5,ACK,0,0,5,31,0,pass,none,6714038972
out,29,33,1,3,1313000028,1341261028,4,5,DATA,4,8,8,0,0,pass,none,6686999972
out,29,33,2,3,1313000028,1341261028,4,5,DATA,4,9,9,0,0,pass,none,6686999972
out,29,33,3,3,1313000028,1341261028,4,5,DATA,4,10,10,0,0,pass,none,6686999972
out,30,34,1,1,1324961028,1347042028,1,5,ACK,0,0,5,31,0,pass,none,6675038972
out,31,35,1,1,1363961028,1386042028,1,5,ACK,0,0,5,31,0,pass,none,6636038972
out,32,36,1,1,1378000028,1405841028,5,4,ACK,0,0,10,1023,0,pass,none,6621999972
out,32,37,2,2,1378000028,1405841028,5,1,DATA,5,6,6,0,0,pass,none,6621999972
out,32,37,3,2,1378000028,1405841028,5,1,DATA,5,7,7,0,0,pass,none,6621999972
out,33,38,1,1,1402961028,1425042028,1,5,ACK,0,0,5,31,0,pass,none,6597038972
out,34,39,1,1,1430000028,1452081028,5,4,ACK,0,0,10,1023,0,pass,none,6569999972
out,35,40,1,1,1441961028,1464042028,1,5,ACK,0,0,7,127,0,pass,none,6558038972
out,36,41,1,1,1480961028,1503042028,1,5,ACK,0,0,7,127,0,pass,none,6519038972
out,37,42,1,1,1519961028,1542042028,1,5,ACK,0,0,7,127,0,pass,none,6480038972
out,38,43,1,4,1521000028,1552141028,4,5,DATA,4,11,11,0,0,pass,none,6478999972
out,38,43,2,4,1521000028,1552141028,4,5,DATA,4,12,12,0,0,pass,none,6478999972
out,38,43,3,4,1521000028,1552141028,4,5,DATA,4,13,13,0,0,pass,none,6478999972
out,38,43,4,4,1521000028,1552141028,4,5,DATA,4,14,14,0,0,pass,none,6478999972
out,39,44,1,1,1558961028,1581042028,1,5,ACK,0,0,7,127,0,pass,none,6441038972
out,40,45,1,1,1573000028,1603721028,5,4,ACK,0,0,14,16383,0,pass,none,6426999972
out,40,46,2,3,1573000028,1603721028,5,1,DATA,5,8,8,0,0,pass,none,6426999972
out,40,46,3,3,1573000028,1603721028,5,1,DATA,5,9,9,0,0,pass,none,6426999972
out,40,46,4,3,1573000028,1603721028,5,1,DATA,5,10,10,0,0,pass,none,6426999972
out,41,47,1,1,1597961028,1620042028,1,5,ACK,0,0,7,127,0,pass,none,6402038972
out,42,48,1,1,1625000028,1647081028,5,4,ACK,0,0,14,16383,0,pass,none,6374999972
out,43,49,1,1,1636961028,1659042028,1,5,ACK,0,0,10,1023,0,pass,none,6363038972
out,44,50,1,1,1675961028,1698042028,1,5,ACK,0,0,10,1023,0,pass,none,6324038972
out,45,51,1,1,1714961028,1737042028,1,5,ACK,0,0,10,1023,0,pass,none,6285038972
out,46,52,1,5,1716000028,1750021028,4,5,DATA,4,15,15,0,0,pass,none,6283999972
out,46,52,2,5,1716000028,1750021028,4,5,DATA,4,16,16,0,0,pass,none,6283999972
out,46,52,3,5,1716000028,1750021028,4,5,DATA,4,17,17,0,0,pass,none,6283999972
out,46,52,4,5,1716000028,1750021028,4,5,DATA,4,18,18,0,0,pass,none,6283999972
out,46,52,5,5,1716000028,1750021028,4,5,DATA,4,19,19,0,0,pass,none,6283999972
out,47,53,1,1,1753961028,1776042028,1,5,ACK,0,0,10,1023,0,pass,none,6246038972
out,48,54,1,1,1768000028,1801601028,5,4,ACK,0,0,19,524280,7,pass,none,6231999972
out,48,55,2,4,1768000028,1801601028,5,1,DATA,5,11,11,0,0,pass,none,6231999972
out,48,55,3,4,1768000028,1801601028,5,1,DATA,5,12,12,0,0,pass,none,6231999972
out,48,55,4,4,1768000028,1801601028,5,1,DATA,5,13,13,0,0,pass,none,6231999972
out,48,55,5,4,1768000028,1801601028,5,1,DATA,5,14,14,0,0,pass,none,6231999972
out,49,56,1,1,1792961028,1815042028,1,5,ACK,0,0,10,1023,0,pass,none,6207038972
out,50,57,1,1,1820000028,1842081028,5,4,ACK,0,0,19,524280,7,pass,none,6179999972
out,51,58,1,1,1831961028,1854042028,1,5,ACK,0,0,14,16383,0,pass,none,6168038972
out,52,59,1,1,1870961028,1893042028,1,5,ACK,0,0,14,16383,0,pass,none,6129038972
out,53,60,1,1,1909961028,1932042028,1,5,ACK,0,0,14,16383,0,pass,none,6090038972
out,54,61,1,2,1911000028,1936381028,4,5,DATA,4,20,20,0,0,pass,none,6088999972
out,54,61,2,2,1911000028,1936381028,4,5,DATA,4,21,21,0,0,pass,none,6088999972
out,55,62,1,1,1948961028,1971042028,1,5,ACK,0,0,14,16383,0,pass,none,6051038972
out,56,63,1,1,1963000028,1999481028,5,4,ACK,0,0,21,2097120,31,pass,none,6036999972
out,56,64,2,5,1963000028,1999481028,5,1,DATA,5,15,15,0,0,pass,none,6036999972
out,56,64,3,5,1963000028,1999481028,5,1,DATA,5,16,16,0,0,pass,none,6036999972
out,56,64,4,5,1963000028,1999481028,5,1,DATA,4,1,17,0,0,pass,none,6036999972
out,56,64,5,5,1963000028,1999481028,5,1,DATA,4,2,18,0,0,pass,none,6036999972
out,56,64,6,5,1963000028,1999481028,5,1,DATA,4,3,19,0,0,pass,none,6036999972
out,57,65,1,1,1987961028,2010042028,1,5,ACK,0,0,14,16383,0,pass,none,6012038972
out,58,66,1,1,2026961028,2049042028,1,5,ACK,0,0,19,524287,0,pass,none,5973038972
out,59,67,1,1,2028000028,2050081028,5,4,ACK,0,0,21,2097120,31,pass,none,5971999972
out,60,68,1,1,2065961028,2088042028,1,5,ACK,0,0,19,524287,0,pass,none,5934038972
out,61,69,1,1,2104961028,2127042028,1,5,ACK,0,0,19,524287,0,pass,none,5895038972
out,62,70,1,1,2143961028,2166042028,1,5,ACK,0,0,19,524287,0,pass,none,5856038972
out,63,71,1,1,2171000028,2213241028,5,4,ACK,0,0,21,2097120,31,pass,none,5828999972
out,63,72,2,7,2171000028,2213241028,5,1,DATA,5,17,20,0,0,pass,none,5828999972
out,63,72,3,7,2171000028,2213241028,5,1,DATA,5,18,21,0,0,pass,none,5828999972
out,63,72,4,7,2171000028,2213241028,5,1,DATA,4,4,22,0,0,pass,none,5828999972
out,63,72,5,7,2171000028,2213241028,5,1,DATA,4,5,23,0,0,pass,none,5828999972
out,63,72,6,7,2171000028,2213241028,5,1,DATA,5,19,24,0,0,pass,none,5828999972
out,63,72,7,7,2171000028,2213241028,5,1,DATA,4,6,25,0,0,pass,none,5828999972
out,63,72,8,7,2171000028,2213241028,5,1,DATA,4,7,26,0,0,pass,none,5828999972
out,64,73,1,1,2182961028,2205042028,1,5,ACK,0,0,19,524287,0,pass,none,5817038972
out,65,74,1,1,2236000028,2258081028,5,4,ACK,0,0,21,2097120,31,pass,none,5763999972
out,66,75,1,1,2247961028,2270042028,1,5,ACK,0,0,26,67108863,0,pass,none,5752038972
out,67,76,1,1,2286961028,2309042028,1,5,ACK,0,0,26,67108863,0,pass,none,5713038972
out,68,77,1,1,2325961028,2348042028,1,5,ACK,0,0,26,67108863,0,pass,none,5674038972
out,69,78,1,1,2364961028,2387042028,1,5,ACK,0,0,26,67108863,0,pass,none,5635038972
out,70,79,1,1,2379000028,2427001028,5,4,ACK,0,0,21,2097120,31,pass,none,5620999972
out,70,80,2,9,2379000028,2427001028,5,1,DATA,5,20,27,0,0,pass,none,5620999972
out,70,80,3,9,2379000028,2427001028,5,1,DATA,5,21,28,0,0,pass,none,5620999972
out,70,80,4,9,2379000028,2427001028,5,1,DATA,4,8,29,0,0,pass,none,5620999972
out,70,80,5,9,2379000028,2427001028,5,1,DATA,4,9,30,0,0,pass,none,5620999972
out,70,80,6,9,2379000028,2427001028,5,1,DATA,4,10,31,0,0,pass,none,5620999972
out,70,80,7,9,2379000028,2427001028,5,1,DATA,4,11,32,0,0,pass,none,5620999972
out,70,80,8,9,2379000028,2427001028,5,1,DATA,4,12,33,0,0,pass,none,5620999972
out,70,80,9,9,2379000028,2427001028,5,1,DATA,4,13,34,0,0,pass,none,5620999972
out,70,80,10,9,2379000028,2427001028,5,1,DATA,4,14,35,0,0,pass,none,5620999972
out,71,81,1,1,2403961028,2426042028,1,5,ACK,0,0,26,67108863,0,pass,none,5596038972
out,72,82,1,1,2442961028,2465042028,1,5,ACK,0,0,35,34359738367,0,pass,none,5557038972
out,73,83,1,1,2481961028,2504042028,1,5,ACK,0,0,35,34359738367,0,pass,none,5518038972
out,74,84,1,1,2520961028,2543042028,1,5,ACK,0,0,35,34359738367,0,pass,none,5479038972
out,75,85,1,1,2559961028,2582042028,1,5,ACK,0,0,35,34359738367,0,pass,none,5440038972
out,76,86,1,1,2598961028,2621042028,1,5,ACK,0,0,35,34359738367,0,pass,none,5401038972
out,77,87,1,8,2600000028,2642661028,5,1,DATA,4,15,36,0,0,pass,none,5399999972
out,77,87,2,8,2600000028,2642661028,5,1,DATA,4,16,37,0,0,pass,none,5399999972
out,77,87,3,8,2600000028,2642661028,5,1,DATA,4,17,38,0,0,pass,none,5399999972
out,77,87,4,8,2600000028,2642661028,5,1,DATA,4,18,39,0,0,pass,none,5399999972
out,77,87,5,8,2600000028,2642661028,5,1,DATA,4,19,40,0,0,pass,none,5399999972
out,77,87,6,8,2600000028,2642661028,5,1,DATA,4,20,41,0,0,pass,none,5399999972
out,77,87,7,8,2600000028,2642661028,5,1,DATA,4,21,42,0,0,pass,none,5399999972
out,77,87,8,8,2600000028,2642661028,5,1,DATA,5,22,43,0,0,pass,none,5399999972
out,78,88,1,1,2676961028,2699042028,1,5,ACK,0,0,43,8796093022207,0,pass,none,5323038972
out,79,89,1,1,2715961028,2738042028,1,5,ACK,0,0,43,8796093022207,0,pass,none,5284038972
out,80,90,1,1,2754961028,2777042028,1,5,ACK,0,0,43,8796093022207,0,pass,none,5245038972
out,81,91,1,1,2793961028,2816042028,1,5,ACK,0,0,43,8796093022207,0,pass,none,5206038972
out,82,92,1,1,2832961028,2855042028,1,5,ACK,0,0,43,8796093022207,0,pass,none,5167038972
out,83,93,1,1,3133000028,3155501028,5,1,DATA,5,23,44,0,0,pass,none,4866999972
out,84,94,1,1,3183961028,3206042028,1,5,ACK,0,0,44,17592186044415,0,pass,none,4816038972
out,85,95,1,1,3222961028,3245042028,1,5,ACK,0,0,44,17592186044415,0,pass,none,4777038972
out,86,96,1,1,3261961028,3284042028,1,5,ACK,0,0,44,17592186044415,0,pass,none,4738038972
out,87,97,1,1,3300961028,3323042028,1,5,ACK,0,0,44,17592186044415,0,pass,none,4699038972
out,88,98,1,1,3339961028,3362042028,1,5,ACK,0,0,44,17592186044415,0,pass,none,4660038972
out,89,99,1,1,4134000028,4156501028,5,1,DATA,5,24,45,0,0,pass,none,3865999972
out,90,100,1,1,4184961028,4207042028,1,5,ACK,0,0,45,35184372088831,0,pass,none,3815038972
out,91,101,1,1,4223961028,4246042028,1,5,ACK,0,0,45,35184372088831,0,pass,none,3776038972
out,92,102,1,1,4262961028,4285042028,1,5,ACK,0,0,45,35184372088831,0,pass,none,3737038972
out,93,103,1,1,4301961028,4324042028,1,5,ACK,0,0,45,35184372088831,0,pass,none,3698038972
out,94,104,1,1,4340961028,4363042028,1,5,ACK,0,0,45,35184372088831,0,pass,none,3659038972
out,95,105,1,1,5135000028,5157501028,5,1,DATA,5,25,46,0,0,pass,none,2864999972
out,96,106,1,1,5185961028,5208042028,1,5,ACK,0,0,46,70368744177663,0,pass,none,2814038972
out,97,107,1,1,5224961028,5247042028,1,5,ACK,0,0,46,70368744177663,0,pass,none,2775038972
out,98,108,1,1,5263961028,5286042028,1,5,ACK,0,0,46,70368744177663,0,pass,none,2736038972
out,99,109,1,1,5302961028,5325042028,1,5,ACK,0,0,46,70368744177663,0,pass,none,2697038972
out,100,110,1,1,5341961028,5364042028,1,5,ACK,0,0,46,70368744177663,0,pass,none,2658038972
out,101,111,1,1,6136000028,6158501028,5,1,DATA,5,26,47,0,0,pass,none,1863999972
out,102,112,1,1,6186961028,6209042028,1,5,ACK,0,0,47,140737488355327,0,pass,none,1813038972
out,103,113,1,1,6225961028,6248042028,1,5,ACK,0,0,47,140737488355327,0,pass,none,1774038972
out,104,114,1,1,6264961028,6287042028,1,5,ACK,0,0,47,140737488355327,0,pass,none,1735038972
out,105,115,1,1,6303961028,6326042028,1,5,ACK,0,0,47,140737488355327,0,pass,none,1696038972
out,106,116,1,1,6342961028,6365042028,1,5,ACK,0,0,47,140737488355327,0,pass,none,1657038972
out,107,117,1,1,7137000028,7159501028,5,1,DATA,5,27,48,0,0,pass,none,862999972
out,108,118,1,1,7187961028,7210042028,1,5,ACK,0,0,48,281474976710655,0,pass,none,812038972
out,109,119,1,1,7226961028,7249042028,1,5,ACK,0,0,48,281474976710655,0,pass,none,773038972
out,110,120,1,1,7265961028,7288042028,1,5,ACK,0,0,48,281474976710655,0,pass,none,734038972
out,111,121,1,1,7304961028,7327042028,1,5,ACK,0,0,48,281474976710655,0,pass,none,695038972
out,112,122,1,1,7343961028,7366042028,1,5,ACK,0,0,48,281474976710655,0,pass,none,656038972
out,113,123,1,1,8138000028,8160501028,5,1,DATA,5,28,49,0,0,drop,outage,138000028
out,114,124,1,1,9139000028,9161501028,5,1,DATA,5,29,50,0,0,drop,outage,360999972
out,115,125,1,2,10140000028,10165381028,5,1,DATA,5,30,51,0,0,pass,none,640000028
out,115,125,2,2,10140000028,10165381028,5,1,DATA,5,28,49,0,0,pass,none,640000028
out,116,126,1,1,10203961028,10226042028,1,5,ACK,0,0,51,2251799813685245,0,pass,none,703961028
out,117,127,1,1,10242961028,10265042028,1,5,ACK,0,0,51,2251799813685245,0,pass,none,742961028
out,118,128,1,1,10281961028,10304042028,1,5,ACK,0,0,51,2251799813685245,0,pass,none,781961028
out,119,129,1,1,10320961028,10343042028,1,5,ACK,0,0,51,2251799813685245,0,pass,none,820961028
out,120,130,1,1,10359961028,10382042028,1,5,ACK,0,0,51,2251799813685245,0,pass,none,859961028
out,121,131,1,2,11141000028,11166381028,5,1,DATA,5,31,52,0,0,pass,none,1641000028
out,121,131,2,2,11141000028,11166381028,5,1,DATA,5,29,50,0,0,pass,none,1641000028
out,122,132,1,1,11204961028,11227042028,1,5,ACK,0,0,52,4503599627370495,0,pass,none,1704961028
out,123,133,1,1,11243961028,11266042028,1,5,ACK,0,0,52,4503599627370495,0,pass,none,1743961028
out,124,134,1,1,11282961028,11305042028,1,5,ACK,0,0,52,4503599627370495,0,pass,none,1782961028
out,125,135,1,1,11321961028,11344042028,1,5,ACK,0,0,52,4503599627370495,0,pass,none,1821961028
out,126,136,1,1,11360961028,11383042028,1,5,ACK,0,0,52,4503599627370495,0,pass,none,1860961028
out,127,137,1,1,12142000028,12164501028,5,1,DATA,5,32,53,0,0,pass,none,2642000028
out,128,138,1,1,12192961028,12215042028,1,5,ACK,0,0,53,9007199254740991,0,pass,none,2692961028
out,129,139,1,1,12231961028,12254042028,1,5,ACK,0,0,53,9007199254740991,0,pass,none,2731961028
out,130,140,1,1,12270961028,12293042028,1,5,ACK,0,0,53,9007199254740991,0,pass,none,2770961028
out,131,141,1,1,12309961028,12332042028,1,5,ACK,0,0,53,9007199254740991,0,pass,none,2809961028
out,132,142,1,1,12348961028,12371042028,1,5,ACK,0,0,53,9007199254740991,0,pass,none,2848961028
out,133,143,1,1,13143000028,13165501028,5,1,DATA,5,33,54,0,0,pass,none,3643000028
out,134,144,1,1,13193961028,13216042028,1,5,ACK,0,0,54,18014398509481983,0,pass,none,3693961028
out,135,145,1,1,13232961028,13255042028,1,5,ACK,0,0,54,18014398509481983,0,pass,none,3732961028
out,136,146,1,1,13271961028,13294042028,1,5,ACK,0,0,54,18014398509481983,0,pass,none,3771961028
out,137,147,1,1,13310961028,13333042028,1,5,ACK,0,0,54,18014398509481983,0,pass,none,3810961028
out,138,148,1,1,13349961028,13372042028,1,5,ACK,0,0,54,18014398509481983,0,pass,none,3849961028
out,139,149,1,1,14131000028,14153501028,5,1,DATA,5,34,55,0,0,pass,none,4631000028
out,140,150,1,1,14181961028,14204042028,1,5,ACK,0,0,55,36028797018963967,0,pass,none,4681961028
out,141,151,1,1,14220961028,14243042028,1,5,ACK,0,0,55,36028797018963967,0,pass,none,4720961028
out,142,152,1,1,14259961028,14282042028,1,5,ACK,0,0,55,36028797018963967,0,pass,none,4759961028
out,143,153,1,1,14298961028,14321042028,1,5,ACK,0,0,55,36028797018963967,0,pass,none,4798961028
out,144,154,1,1,14337961028,14360042028,1,5,ACK,0,0,55,36028797018963967,0,pass,none,4837961028
out,145,155,1,1,15132000028,15154501028,5,1,DATA,5,35,56,0,0,pass,none,5632000028
out,146,156,1,1,15182961028,15205042028,1,5,ACK,0,0,56,72057594037927935,0,pass,none,5682961028
out,147,157,1,1,15221961028,15244042028,1,5,ACK,0,0,56,72057594037927935,0,pass,none,5721961028
out,148,158,1,1,15260961028,15283042028,1,5,ACK,0,0,56,72057594037927935,0,pass,none,5760961028
out,149,159,1,1,15299961028,15322042028,1,5,ACK,0,0,56,72057594037927935,0,pass,none,5799961028
out,150,160,1,1,15338961028,15361042028,1,5,ACK,0,0,56,72057594037927935,0,pass,none,5838961028
out,151,161,1,1,16133000028,16155501028,5,1,DATA,5,36,57,0,0,pass,none,6633000028
out,152,162,1,1,16183961028,16206042028,1,5,ACK,0,0,57,144115188075855871,0,pass,none,6683961028
